split_type,model_name,fraction,seed,test_mse,test_cross_entropy
problem,pt5,0.6,42,0.050507552459152574,0.6937430216908089
problem,ev,0.62,42,0.06501115886038804,0.7253576467266556
problem,eu,0.62,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.62,42,0.050803493493514665,0.6943351750820734
problem,pt5,0.62,42,0.0505084862194623,0.6937448979933988
problem,ev,0.64,42,0.06501115886038804,0.7253576467266556
problem,eu,0.64,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.64,42,0.05079903889561385,0.694326266024185
problem,pt5,0.64,42,0.05050333834069286,0.693734549761255
problem,ev,0.66,42,0.06501115886038804,0.7253576467266556
problem,eu,0.66,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.66,42,0.05079727395834334,0.6943227362762528
problem,pt5,0.66,42,0.05049974984424805,0.6937273275205822
problem,ev,0.68,42,0.06501115886038804,0.7253576467266556
problem,eu,0.68,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.68,42,0.05080276760421463,0.6943337233090754
problem,pt5,0.68,42,0.050498699725185885,0.6937252116518456
problem,ev,0.7,42,0.06501115886038804,0.7253576467266556
problem,eu,0.7,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.7,42,0.050797367033165564,0.6943229224181409
problem,pt5,0.7,42,0.050497589124580716,0.6937229719961912
problem,ev,0.72,42,0.06501115886038804,0.7253576467266556
problem,eu,0.72,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.72,42,0.0507972126501807,0.6943226136651035
problem,pt5,0.72,42,0.05049914853896224,0.6937261161418339
problem,ev,0.74,42,0.06501115886038804,0.7253576467266556
problem,eu,0.74,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.74,42,0.050805266511717066,0.6943387211309279
problem,pt5,0.74,42,0.05049860866564998,0.6937250281033653
problem,ev,0.76,42,0.06501115886038804,0.7253576467266556
problem,eu,0.76,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.76,42,0.050811321740509174,0.6943508318914834
problem,pt5,0.76,42,0.05049883219756136,0.6937254786530052
problem,ev,0.78,42,0.06501115886038804,0.7253576467266556
problem,eu,0.78,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.78,42,0.05079643980596036,0.6943210680465036
problem,pt5,0.78,42,0.05049576964878297,0.6937192953304866
problem,ev,0.8,42,0.06501115886038804,0.7253576467266556
problem,eu,0.8,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.8,42,0.050800005066938256,0.6943281983153822
problem,pt5,0.8,42,0.05049585203313488,0.6937194621359981
problem,ev,0.82,42,0.06501115886038804,0.7253576467266556
problem,eu,0.82,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.82,42,0.050799762965435126,0.6943277141241098
problem,pt5,0.82,42,0.05049450037519057,0.693716715082066
problem,ev,0.84,42,0.06501115886038804,0.7253576467266556
problem,eu,0.84,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.84,42,0.05080465623712325,0.6943375005733375
problem,pt5,0.84,42,0.050495607492689824,0.6937189668672544
problem,ev,0.86,42,0.06501115886038804,0.7253576467266556
problem,eu,0.86,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.86,42,0.05080950708384685,0.6943472024471145
problem,pt5,0.86,42,0.05049589884946576,0.6937195569062293
problem,ev,0.88,42,0.06501115886038804,0.7253576467266556
problem,eu,0.88,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.88,42,0.050789195941438034,0.6943065814214642
problem,pt5,0.88,42,0.050494111546863785,0.6937159086547489
problem,ev,0.9,42,0.06501115886038804,0.7253576467266556
problem,eu,0.9,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.9,42,0.050789315119493576,0.6943068197522801
problem,pt5,0.9,42,0.05049409627898193,0.6937158753630467
