family,model_id,N,seed,mse,r2,correlation,cross_entropy,rmse,mae,parse_success_rate,sens_mse_parse_ok,sens_cross_entropy_parse_ok,sens_mae_parse_ok
llm,qwen2.5:7b-instruct,4,42,0.12389979460398924,-1.5870755554327616,0.17639412896115741,1.0308385928518995,0.3519940263754333,0.28184591559128147,1.0,0.12389979460398924,1.0308385928518995,0.28184591559128147
llm,qwen2.5:7b-instruct,4,43,0.11463511162950896,-1.3936253973536434,0.1767245971811152,0.9798384808179863,0.33857807316704513,0.2672704156525396,1.0,0.11463511162950896,0.9798384808179863,0.2672704156525396
llm,qwen2.5:7b-instruct,8,42,0.11012338369340674,-1.299418775836957,0.16674303244117805,0.959525585211689,0.33184843482139065,0.2596507256575309,1.0,0.11012338369340674,0.959525585211689,0.2596507256575309
llm,qwen2.5:7b-instruct,8,43,0.10062972500862488,-1.1011875165074096,0.16436643717452243,0.9161916447369804,0.3172218860807446,0.24997814416915612,1.0,0.10062972500862488,0.9161916447369804,0.24997814416915612
llm,qwen2.5:7b-instruct,16,42,0.09681755716592261,-1.0215879798771499,0.1395893169518358,0.8782382270936403,0.31115519787707646,0.24342172293406328,1.0,0.09681755716592261,0.8782382270936403,0.24342172293406328
llm,qwen2.5:7b-instruct,16,43,0.09616597202970756,-1.0079826306223496,0.15315339036886869,0.8881406225436643,0.31010638824395015,0.24509747928032818,1.0,0.09616597202970756,0.8881406225436643,0.24509747928032818
llm,qwen2.5:7b-instruct,32,42,0.09193051910960139,-0.9195447381236952,0.15693521260027848,0.8670789865988506,0.30320046027274,0.23813708632253566,1.0,0.09193051910960139,0.8670789865988506,0.23813708632253566
llm,qwen2.5:7b-instruct,32,43,0.09295022067157627,-0.9408365004971,0.1708942805487421,0.8775340740168383,0.3048773862909092,0.239967223037091,1.0,0.09295022067157627,0.8775340740168383,0.239967223037091
llm,qwen2.5:7b-instruct,64,42,0.09090828926049498,-0.8982001841386817,0.11967749666087196,0.8562594907069893,0.3015100151910297,0.23763481545207454,1.0,0.09090828926049498,0.8562594907069893,0.23763481545207454
llm,qwen2.5:7b-instruct,64,43,0.08631382689345161,-0.8022660357559133,0.20806626665313033,0.8603517216003688,0.2937921491351524,0.23139645877642853,1.0,0.08631382689345161,0.8603517216003688,0.23139645877642853
