split_type,model_type,fraction,seed,test_mse,test_cross_entropy
train_test,value_based,0.22,42,0.03392092966937511,0.6652979502110534
train_test,context_dependent,0.22,42,0.020343464489691515,0.6364135414399346
train_test,context_dependent_sigmoid,0.22,42,0.02022291161027461,0.6342480761312184
train_test,value_based,0.24,42,0.03426751774764976,0.6655613770069868
train_test,context_dependent,0.24,42,0.0208838650564824,0.6366447577432783
train_test,context_dependent_sigmoid,0.24,42,0.019774934085523173,0.6341832743941105
train_test,value_based,0.26,42,0.03376026666059269,0.6647011289444614
train_test,context_dependent,0.26,42,0.020598023655983008,0.6357676203617896
train_test,context_dependent_sigmoid,0.26,42,0.020183506905982914,0.6340560991070988
train_test,value_based,0.28,42,0.03386431675384149,0.6647235063114446
train_test,context_dependent,0.28,42,0.018915404202082927,0.6328766819787407
train_test,context_dependent_sigmoid,0.28,42,0.01960449242724488,0.6330848400729174
train_test,value_based,0.3,42,0.03334097167991645,0.6638496449914673
train_test,context_dependent,0.3,42,0.017691546026206737,0.6313772992679114
train_test,context_dependent_sigmoid,0.3,42,0.016762785886379274,0.6274082648492275
train_test,value_based,0.32,42,0.03333042530379671,0.6637139253827888
train_test,context_dependent,0.32,42,0.017253459484969015,0.6299133029551158
train_test,context_dependent_sigmoid,0.32,42,0.018586442186947886,0.6309550317348217
train_test,value_based,0.34,42,0.02622563268921761,0.6504812632846388
train_test,context_dependent,0.34,42,0.018502874444092765,0.6311861538395735
train_test,context_dependent_sigmoid,0.34,42,0.017904820516747282,0.6295518341702054
train_test,value_based,0.36,42,0.032911637787144586,0.6631484326794042
train_test,context_dependent,0.36,42,0.017743840051878724,0.6304529827545227
train_test,context_dependent_sigmoid,0.36,42,0.018282476748446196,0.6307550152215902
train_test,value_based,0.38,42,0.03035161665067592,0.6580868665414816
train_test,context_dependent,0.38,42,0.019226754439194395,0.633677412359202
train_test,context_dependent_sigmoid,0.38,42,0.018235517618832502,0.6296264987792978
train_test,value_based,0.4,42,0.02371320304717337,0.6447034470931138
train_test,context_dependent,0.4,42,0.017739854827795977,0.6301276855019451
train_test,context_dependent_sigmoid,0.4,42,0.01736790412315552,0.628391314191281
train_test,value_based,0.42,42,0.0319261448629139,0.6611424580719746
train_test,context_dependent,0.42,42,0.01717061940865604,0.6288964870465892
train_test,context_dependent_sigmoid,0.42,42,0.017821511314116564,0.6292045877113108
train_test,value_based,0.44,42,0.027772093183015305,0.6528760380191989
train_test,context_dependent,0.44,42,0.016672776385960344,0.6278115752524897
train_test,context_dependent_sigmoid,0.44,42,0.01589994244679287,0.625616039423192
train_test,value_based,0.46,42,0.023017318546295493,0.6428784721621128
train_test,context_dependent,0.46,42,0.015873639990459255,0.6253715995058313
train_test,context_dependent_sigmoid,0.46,42,0.016875761386611104,0.6277284670226185
train_test,value_based,0.48,42,0.032044578347708054,0.6612666233956929
train_test,context_dependent,0.48,42,0.01578071074532409,0.6259611418038901
train_test,context_dependent_sigmoid,0.48,42,0.015871299874502816,0.6252678265404968
train_test,value_based,0.5,42,0.025519958488641293,0.6480360116712516
train_test,context_dependent,0.5,42,0.015661571380020358,0.62534741125242
train_test,context_dependent_sigmoid,0.5,42,0.014740876215223731,0.6231232515356696
train_test,value_based,0.52,42,0.023401080783992233,0.6442670401016831
train_test,context_dependent,0.52,42,0.017323523673318544,0.6290794199873562
train_test,context_dependent_sigmoid,0.52,42,0.015046901449569657,0.6234117182425992
train_test,value_based,0.54,42,0.02161868507221646,0.6400246746475704
train_test,context_dependent,0.54,42,0.016844757215266522,0.6281815345855546
train_test,context_dependent_sigmoid,0.54,42,0.016569283935978958,0.6259404350760915
train_test,value_based,0.56,42,0.023469454029700628,0.6440836142275154
train_test,context_dependent,0.56,42,0.015348366312049966,0.6245243218564049
train_test,context_dependent_sigmoid,0.56,42,0.015215396552136844,0.6241602578673969
train_test,value_based,0.58,42,0.022689790481967644,0.6422847797756905
train_test,context_dependent,0.58,42,0.01595476499336196,0.6260235008373171
train_test,context_dependent_sigmoid,0.58,42,0.015569648379508628,0.6244137262254711
train_test,value_based,0.6,42,0.02227709147769811,0.6414702596153142
train_test,context_dependent,0.6,42,0.015411792750176904,0.6248581277649303
train_test,context_dependent_sigmoid,0.6,42,0.01554746293020209,0.6248752565599678
train_test,value_based,0.62,42,0.0230430057549754,0.6430134667906641
train_test,context_dependent,0.62,42,0.01506666383543831,0.625173360858082
train_test,context_dependent_sigmoid,0.62,42,0.013882836707419579,0.6206635684115721
train_test,value_based,0.64,42,0.021502164316337193,0.6398170094733066
train_test,context_dependent,0.64,42,0.014318372404097007,0.6217438937853186
train_test,context_dependent_sigmoid,0.64,42,0.014650655019529647,0.6226248576889437
train_test,value_based,0.66,42,0.021691447351913792,0.6398887790851079
train_test,context_dependent,0.66,42,0.01461897273655782,0.622634666373863
train_test,context_dependent_sigmoid,0.66,42,0.012692140835866166,0.6179957416848917
train_test,value_based,0.68,42,0.021259614456780297,0.6390015375352959
train_test,context_dependent,0.68,42,0.013978590854068862,0.621659034958035
train_test,context_dependent_sigmoid,0.68,42,0.01452524247446051,0.6220265365765217
train_test,value_based,0.7,42,0.0212358105671758,0.6387893041495797
train_test,context_dependent,0.7,42,0.013735383663866351,0.6202761044055376
train_test,context_dependent_sigmoid,0.7,42,0.014131740286694889,0.6213456727326004
train_test,value_based,0.72,42,0.02076877069056613,0.6377896070958394
train_test,context_dependent,0.72,42,0.014465172033058724,0.6228110541990187
train_test,context_dependent_sigmoid,0.72,42,0.013233437868845245,0.6187863279919605
train_test,value_based,0.74,42,0.02166197984761619,0.6399138926615647
train_test,context_dependent,0.74,42,0.014285247170973334,0.6219161902514287
train_test,context_dependent_sigmoid,0.74,42,0.013117928424372696,0.619314134825094
train_test,value_based,0.76,42,0.021276487795766047,0.6390824324047746
train_test,context_dependent,0.76,42,0.013410732283035834,0.6194368489043018
train_test,context_dependent_sigmoid,0.76,42,0.013077694257950242,0.6188444300220189
train_test,value_based,0.78,42,0.021129965751583508,0.6386932793262782
train_test,context_dependent,0.78,42,0.01353518413724243,0.6199882994983594
train_test,context_dependent_sigmoid,0.78,42,0.013043433837779688,0.6189431847492621
train_test,value_based,0.8,42,0.02100247250915296,0.6384067633533952
train_test,context_dependent,0.8,42,0.01394240136629519,0.6216971139224923
train_test,context_dependent_sigmoid,0.8,42,0.013308473057918383,0.6194891892532747
train_test,value_based,0.82,42,0.0212701477432562,0.6392625605960297
